emp_no,first_name,last_name,title,dept_name
10001,Georgi,Facello,Senior Engineer,Development
10004,Chirstian,Koblick,Senior Engineer,Production
10005,Kyoichi,Maliniak,Senior Staff,Human Resources
10006,Anneke,Preusig,Senior Engineer,Development
10009,Sumant,Peac,Senior Engineer,Quality Management
10011,Mary,Sluis,Staff,Customer Service
10018,Kazuhide,Peha,Senior Engineer,Production
10019,Lillian,Haddadi,Staff,Research
10020,Mayuko,Warwick,Engineer,Production
10022,Shahaf,Famili,Engineer,Development
10023,Bojan,Montemayor,Engineer,Development
10026,Yongqiao,Berztiss,Senior Engineer,Production
10035,Alain,Chappelet,Senior Engineer,Production
10047,Zvonko,Nyanchama,Senior Engineer,Production
10051,Hidefumi,Caine,Senior Engineer,Production
10053,Sanjiv,Zschoche,Senior Staff,Sales
10057,Ebbe,Callaway,Senior Engineer,Development
10058,Berhard,McFarlin,Senior Staff,Marketing
10059,Alejandro,McAlpine,Senior Staff,Finance
10063,Gino,Leonhardt,Senior Engineer,Production
10066,Kwee,Schusler,Senior Engineer,Development
10067,Claudi,Stavenow,Senior Engineer,Quality Management
10070,Reuven,Garigliano,Technique Leader,Development
10072,Hironoby,Sidou,Senior Engineer,Development
10073,Shir,McClurg,Engineer,Quality Management
10074,Mokhtar,Bernatsky,Technique Leader,Development
10076,Erez,Ritzmann,Senior Engineer,Development
10088,Jungsoon,Syrzycki,Senior Staff,Customer Service
10091,Amabile,Gomatam,Senior Engineer,Development
10096,Jayson,Mandell,Engineer,Production
10097,Remzi,Waschkowski,Senior Staff,Research
10100,Hironobu,Haraldson,Senior Staff,Human Resources
10101,Perla,Heyers,Staff,Sales
10103,Akemi,Birch,Engineer,Development
10106,Eben,Aingworth,Senior Engineer,Production
10108,Lunjin,Giveon,Staff,Marketing
10116,Dayanand,Czap,Senior Engineer,Development
10126,Kayoko,Valtorta,Senior Staff,Customer Service
10127,Subir,Baja,Senior Engineer,Development
10129,Armond,Peir,Technique Leader,Development
10130,Nishit,Casperson,Senior Engineer,Production
10131,Magdalena,Eldridge,Engineer,Production
10134,Diederik,Siprelle,Senior Engineer,Production
10138,Perry,Shimshoni,Senior Engineer,Quality Management
10149,Xiadong,Perry,Staff,Sales
10150,Zhenbing,Perng,Senior Engineer,Development
10152,Jaques,Munro,Engineer,Quality Management
10153,Heekeun,Majewski,Assistant Engineer,Development
10157,Nigel,Aloisi,Senior Engineer,Development
10159,Serif,Buescher,Senior Engineer,Quality Management
10160,Debatosh,Khasidashvili,Senior Staff,Sales
10161,Hairong,Mellouli,Engineer,Production
10163,Karsten,Szmurlo,Senior Staff,Human Resources
10166,Samphel,Siegrist,Engineer,Development
10177,Pragnesh,Iisaka,Staff,Finance
10183,Mechthild,Bonifati,Staff,Customer Service
10186,Shigehito,Kropatsch,Staff,Finance
10189,Khalid,Erva,Engineer,Development
10194,Josyula,Hofmeyr,Senior Staff,Finance
10196,Marc,Hellwagner,Staff,Finance
10198,Pranav,Furedi,Senior Engineer,Development
10203,Steen,Escriba,Senior Staff,Research
10205,Mabhin,Leijenhorst,Senior Engineer,Production
10207,Girolamo,Anandan,Senior Engineer,Development
10215,Xiaobin,Duclos,Senior Staff,Sales
10217,Yongmin,Roison,Technique Leader,Production
10219,Genta,Kolvik,Senior Staff,Development
10224,Leon,Trogemann,Senior Engineer,Production
10228,Karoline,Cesareni,Senior Staff,Marketing
10229,Ulises,Takanami,Engineer,Quality Management
10230,Clyde,Vernadat,Senior Staff,Research
10233,Lein,Vendrig,Senior Staff,Human Resources
10237,Yannis,Mandell,Senior Staff,Sales
10239,Nikolaos,Llado,Staff,Marketing
10240,Remko,Maccarone,Engineer,Quality Management
10248,Frederique,Tempesti,Senior Staff,Sales
10249,Marie,Boreale,Senior Engineer,Research
10258,Basil,Ishibashi,Senior Engineer,Development
10262,Mahendra,Maraist,Staff,Sales
10272,Yishai,Cannane,Staff,Finance
10278,Lubomir,Nitsch,Engineer,Development
10281,Moty,Kusakari,Senior Engineer,Quality Management
10282,Hercules,Benzmuller,Engineer,Production
10283,Kauko,Birjandi,Senior Engineer,Development
10284,Masali,Murrill,Engineer,Production
10286,Saddek,Gopalakrishnan,Staff,Customer Service
10294,Rutger,Miara,Senior Engineer,Development
10295,Kristine,Velardi,Senior Staff,Finance
10298,Dietrich,DuCasse,Staff,Production
10302,Faiza,Baer,Senior Staff,Sales
10305,Hirochika,Piancastelli,Engineer,Development
10306,Heng,Kilgour,Staff,Sales
10307,Nikolaos,Leaver,Engineer,Quality Management
10321,Guenter,Ravishankar,Staff,Sales
10322,Isamu,Dahlbom,Senior Engineer,Development
10325,Arunachalam,Badr,Senior Staff,Human Resources
10326,Masali,Czap,Staff,Research
10327,Roded,Facello,Engineer,Research
10328,Serenella,Kawashima,Engineer,Development
10333,Snehasis,Dymetman,Senior Engineer,Development
10340,Djelloul,Laventhal,Senior Staff,Marketing
10343,Dinah,Syrzycki,Senior Engineer,Quality Management
10347,Pradeep,Kaminger,Staff,Research
10349,Oksana,Brodie,Senior Staff,Customer Service
10350,Kristen,Kavvadias,Engineer,Production
10353,Phule,Hammerschmidt,Senior Staff,Marketing
10355,Satyanarayana,Cochrane,Staff,Sales
10356,Vasilis,Standera,Senior Staff,Research
10358,Qunsheng,Tagansky,Technique Leader,Development
10363,Toshiki,Muniz,Assistant Engineer,Quality Management
10364,Nakhoon,Dengi,Senior Engineer,Production
10367,Hyuckchul,Gini,Senior Staff,Marketing
10372,Anneli,Frijda,Technique Leader,Production
10374,Willard,Rosin,Staff,Sales
10377,Marl,Grospietsch,Senior Engineer,Production
10382,Shirish,Dredge,Engineer,Customer Service
10387,Parto,Wrigley,Senior Staff,Customer Service
10388,Hironoby,Kaiser,Staff,Sales
10389,Make,Peir,Technique Leader,Development
10395,Takahiro,Deverell,Engineer,Development
10396,Sibyl,Rahier,Senior Engineer,Development
10397,Irena,Reutenauer,Technique Leader,Production
10402,Volkmar,Ebeling,Technique Leader,Quality Management
10404,Prodip,Rosti,Senior Engineer,Development
10407,Ulf,Siepmann,Senior Staff,Sales
10413,Danel,Impagliazzo,Senior Staff,Human Resources
10414,Yinlin,Alpin,Senior Engineer,Development
10418,Candida,Porotnikoff,Staff,Marketing
10422,Greger,Rubsam,Engineer,Production
10426,Arunas,Luce,Technique Leader,Development
10429,Martien,Improta,Senior Engineer,Development
10432,Hisao,Tiemann,Senior Staff,Customer Service
10433,Reuven,Dengi,Engineer,Quality Management
10442,Volkmar,Unno,Senior Staff,Sales
10443,Shichao,Litvinov,Senior Engineer,Development
10451,Bodh,Ranta,Senior Engineer,Production
10453,Tsvetan,Matzel,Senior Staff,Customer Service
10463,Ung,Zaiane,Staff,Sales
10466,Jiakeng,Himler,Staff,Customer Service
10477,Guoxiang,Trogemann,Senior Engineer,Development
10486,Amstein,Kossowski,Senior Engineer,Quality Management
10494,Yakkov,Servieres,Senior Engineer,Production
10497,Pramod,Rabehasaina,Senior Engineer,Production
10499,Maik,Luft,Senior Staff,Sales
