emp_no,first_name,last_name,gender,salary,to_date
10001,Georgi,Facello,M,60117,9999-01-01
10198,Pranav,Furedi,M,44076,9999-01-01
10215,Xiaobin,Duclos,M,43944,9999-01-01
10224,Leon,Trogemann,M,40000,9999-01-01
10233,Lein,Vendrig,F,40000,9999-01-01
10258,Basil,Ishibashi,F,66280,9999-01-01
10272,Yishai,Cannane,M,58070,9999-01-01
10282,Hercules,Benzmuller,M,40000,9999-01-01
10283,Kauko,Birjandi,M,40000,9999-01-01
10326,Masali,Czap,F,40000,9999-01-01
10340,Djelloul,Laventhal,M,68132,9999-01-01
10347,Pradeep,Kaminger,M,42199,9999-01-01
10355,Satyanarayana,Cochrane,M,70434,9999-01-01
10356,Vasilis,Standera,M,45376,9999-01-01
10364,Nakhoon,Dengi,M,51401,9999-01-01
10372,Anneli,Frijda,F,54505,9999-01-01
10387,Parto,Wrigley,F,61374,9999-01-01
10396,Sibyl,Rahier,M,40393,9999-01-01
10402,Volkmar,Ebeling,M,40000,9999-01-01
10404,Prodip,Rosti,F,51647,9999-01-01
10426,Arunas,Luce,F,65757,9999-01-01
10429,Martien,Improta,F,40000,9999-01-01
10432,Hisao,Tiemann,F,40000,9999-01-01
10451,Bodh,Ranta,F,46275,9999-01-01
10453,Tsvetan,Matzel,F,40000,9999-01-01
10463,Ung,Zaiane,M,66480,9999-01-01
10486,Amstein,Kossowski,F,71692,9999-01-01
10494,Yakkov,Servieres,F,50094,9999-01-01
10504,Xiong,Varker,M,43931,9999-01-01
10512,Udi,Gihr,M,40000,9999-01-01
10522,Marke,Cesareni,F,40000,9999-01-01
10548,Ramalingam,Gunderson,M,90631,9999-01-01
10564,Jianhao,Thisen,M,46660,9999-01-01
10623,Aleksander,Danlos,F,60268,9999-01-01
10628,Krisda,Krogh,M,41650,9999-01-01
10631,Inderjeet,Chaudhuri,M,40000,9999-01-01
10642,Hirochika,Narlikar,M,40000,9999-01-01
10653,Otmar,Feinberg,M,40000,9999-01-01
10671,Parviz,Rebaine,M,74037,9999-01-01
10676,Valeri,Danley,F,58226,9999-01-01
