emp_no,first_name,last_name,dept_name
10053,Sanjiv,Zschoche,Sales
10088,Jungsoon,Syrzycki,Sales
10149,Xiadong,Perry,Sales
10215,Xiaobin,Duclos,Sales
10302,Faiza,Baer,Sales
10355,Satyanarayana,Cochrane,Sales
10442,Volkmar,Unno,Sales
10463,Ung,Zaiane,Sales
10504,Xiong,Varker,Sales
10541,Godehard,Eiter,Sales
10548,Ramalingam,Gunderson,Sales
10629,Lalit,Francisci,Sales
10767,Monique,Doering,Sales
10795,Supot,Naudin,Sales
10836,Jianhua,Leivant,Sales
10878,Lakshmi,Deville,Sales
10895,Vishwani,Petersohn,Sales
10924,Hironoby,Atchley,Sales
10965,Eckart,Braunschweig,Sales
11009,Alper,Axelband,Sales
11048,Jaques,Demke,Sales
11146,Ishfaq,Masand,Sales
11197,Tadahiro,Fordan,Sales
11338,Kwangsub,Hanratty,Sales
11441,Marlo,Aingworth,Sales
11506,Rance,Picel,Sales
11515,Ulf,Basawa,Sales
11537,DAIDA,Pehl,Sales
11567,Teiji,Mitzlaff,Sales
11615,Shem,Isaak,Sales
11660,Gill,Stenning,Sales
11696,Dante,Rothe,Sales
11746,Koichi,Marrakchi,Sales
11747,Aksel,Kossowski,Sales
11797,Chenxi,Thambidurai,Sales
11813,Gita,Muhlberg,Sales
11817,Niranjan,Markovitch,Sales
11838,Taiji,Nitta,Sales
11857,Divier,Farrag,Sales
11897,Cordelia,Setlzner,Sales
12011,Zhilian,Coorg,Sales
12036,Mads,Ratzlaff,Sales
12076,Karlis,Siprelle,Sales
12082,Xinan,Yamaashi,Sales
12099,Nobuyoshi,Kuzuoka,Sales
12128,Yannik,Barreiro,Sales
12149,Suebskul,Grandbois,Sales
12373,Mooi,Driscoll,Sales
12399,Mihalis,Luga,Sales
12411,Shao,Ibel,Sales
12415,Uri,Sluis,Sales
12454,Kerryn,Farris,Sales
12464,Shai,Milicic,Sales
12478,Yahiko,Hopewell,Sales
12497,Stein,Penz,Sales
12541,Shih,Nanard,Sales
12651,Pragnesh,Bael,Sales
12664,Zhonghua,Parveen,Sales
12732,Mara,Takanami,Sales
12759,LiMin,Kuszyk,Sales
12790,Gunilla,Perl,Sales
12798,Lillian,Beeson,Sales
12803,Gad,Boissier,Sales
12872,Marl,Schmittgen,Sales
12890,Neven,Casley,Sales
12893,Licheng,Crouzet,Sales
12922,Jacqueline,Porenta,Sales
12951,Mohammad,Keirsey,Sales
12974,Gift,Frolund,Sales
13075,Rosella,Morrin,Sales
13124,Quingbo,Garnick,Sales
13146,Haldon,Erie,Sales
13147,Shichao,Ginesta,Sales
13173,Arve,Horswill,Sales
13179,Moty,Janocha,Sales
13186,Kyoichi,Barbanera,Sales
13210,Jianhua,Klassen,Sales
13213,Hein,Billawala,Sales
13238,Ebru,Foote,Sales
13243,Fay,Huxford,Sales
13305,Bikash,Herath,Sales
13392,Fumitake,Beidas,Sales
13405,Randy,Baba,Sales
13524,Chaoyi,Porotnikoff,Sales
13605,Dmitry,Encarnacion,Sales
13680,Denny,Speer,Sales
13684,Elvia,Christ,Sales
13721,Sugwoo,Delgrossi,Sales
13747,Masaru,Capobianchi,Sales
13769,Yakichi,Trogemann,Sales
13775,Arve,Maierhofer,Sales
13786,Takushi,Berendt,Sales
13801,Shih,Mayerwieser,Sales
13916,Vidya,Wynblatt,Sales
13930,Sukumar,Chartres,Sales
13951,Mooi,Genther,Sales
13986,Geraldo,Ramsey,Sales
14197,Adin,Chachaty,Sales
14275,Tristan,Aseltine,Sales
14310,Marlo,Leuchs,Sales
14354,Mong,Bojadziev,Sales
14478,Munehiro,Boissier,Sales
14513,Samphel,Barreiro,Sales
14516,Kristian,Underwood,Sales
14607,Suzette,Selvestrel,Sales
14621,Souichi,Wixon,Sales
14639,Arvind,Hempstead,Sales
14648,IEEE,Lorys,Sales
14865,Ute,Serra,Sales
14871,Arnd,Kaiserswerth,Sales
14888,Temple,Barriga,Sales
14899,Alejandro,Casley,Sales
14966,Zhanqiu,Underwood,Sales
15030,Rasikan,Nourani,Sales
15071,Ayonca,Couchot,Sales
15105,Sudhanshu,Itzigehl,Sales
15113,Zhiguo,Giaccio,Sales
15134,Arun,Luiz,Sales
15151,Urs,Pouyioutas,Sales
15176,Charlene,Sankaranarayanan,Sales
15271,Shiv,Bernardeschi,Sales
15292,Miyeon,Lammel,Sales
15330,Jaroslava,Chinal,Sales
15369,Premal,Penttonen,Sales
15372,Nahum,Broder,Sales
15382,Alassane,Siegrist,Sales
15410,Wilmer,Kushner,Sales
15454,Hongzue,Cesareni,Sales
15474,Gilbert,Plumb,Sales
15511,George,Kowalchuk,Sales
15539,Shigeichiro,Spieker,Sales
15566,Baoqiu,Azuma,Sales
15601,Carrsten,Anily,Sales
15641,Jaana,Roisin,Sales
15708,Reuven,Kushnir,Sales
15715,Insup,Ibel,Sales
15740,Stepehn,Pocchiola,Sales
15799,Manton,Gelosh,Sales
15819,Magdalena,Rajcani,Sales
15912,Piyawadee,Cichocki,Sales
15938,Garnik,Covnot,Sales
16066,Marsha,Penn,Sales
16105,Alper,Tetzlaff,Sales
16233,Sushant,Baba,Sales
16266,Mikhail,Sethi,Sales
16331,Giap,Garnham,Sales
16355,Nikolaos,Luca,Sales
16364,Yifei,Gini,Sales
16373,Narain,Aseltine,Sales
16396,Guangming,Yoshimura,Sales
16398,Limsoon,Krzyzanowski,Sales
16399,Apostol,Collette,Sales
16446,Jouko,Chinin,Sales
16487,Arunas,Yemenis,Sales
16490,Muzhong,Thiria,Sales
16500,Elvis,Servieres,Sales
16607,Vishwani,Honglei,Sales
16672,Georgi,Peris,Sales
16806,Sreekrishna,Dayana,Sales
16808,Kiyokazu,Katiyar,Sales
16858,Akeno,Gustavson,Sales
16885,Ronghao,Stentiford,Sales
16921,Evgueni,Yeung,Sales
16993,Hongzue,Dahlbom,Sales
16996,Shigenori,Millington,Sales
17063,Anoosh,Thiran,Sales
17089,Rafail,Erman,Sales
17102,Radhika,Garnick,Sales
17146,Aemilian,Barbanera,Sales
17185,Danai,Wilfing,Sales
17245,Neven,Milicia,Sales
17275,Shmuel,Danlos,Sales
17352,Muneo,Katiyar,Sales
17436,Chirstian,Munawer,Sales
17468,Abdelghani,Irland,Sales
17573,Berthier,Deverell,Sales
17629,Mostafa,Winter,Sales
17647,Vasilis,Swab,Sales
17681,Eran,Schauser,Sales
17683,Bernt,Henders,Sales
17695,Kazuhiro,Chvatal,Sales
17791,Matt,Stifter,Sales
17796,Alejandro,Impagliazzo,Sales
17874,Rutger,Minakawa,Sales
17986,Oguz,Angelopoulos,Sales
18006,Vidya,Hanabata,Sales
18016,Somnath,Kaminger,Sales
18018,Sasan,Schrooten,Sales
18024,Uzi,Casperson,Sales
18065,Chriss,Wroclawski,Sales
18086,Brewster,Szmurlo,Sales
18108,Sanjai,Genin,Sales
18274,Yefim,Karnin,Sales
18297,Guther,Nastansky,Sales
18369,Pintsang,Backhouse,Sales
18401,Vidya,Itzfeldt,Sales
18407,Marsja,Luit,Sales
18435,Basim,Covnot,Sales
18443,Florina,Swick,Sales
18454,Eric,Anido,Sales
18492,Turgut,Brickell,Sales
18581,Mitsuyuki,Ranai,Sales
18612,Nevin,Sevcikova,Sales
18664,Itzchak,Akaboshi,Sales
18679,Roded,Lambe,Sales
18701,Mori,Ratnakar,Sales
18706,Debaprosad,Schicker,Sales
18725,Cullen,Marchegay,Sales
18771,Domenick,Haraldson,Sales
18789,Reinhold,Domenig,Sales
18809,Laurentiu,Munoz,Sales
18892,Kamakshi,Matzat,Sales
18994,Leszek,Mitsuhashi,Sales
19012,Gal,Panangaden,Sales
19014,Jiafu,Danecki,Sales
19031,Rosella,Pollock,Sales
19048,Nikolaus,Radhakrishnan,Sales
19109,Jenwei,Denis,Sales
19113,Persi,Bahr,Sales
19134,Seongbin,Bakhtari,Sales
19147,Chaitali,Bennis,Sales
19160,Tetsurou,Jervis,Sales
19201,Arto,Sommen,Sales
19205,Moto,Sinitsyn,Sales
19318,Xianlong,Halevi,Sales
19343,Heping,Hempstead,Sales
19381,Xiahua,Holburn,Sales
19419,Palash,Bernardeschi,Sales
19580,Stein,Tagansky,Sales
19624,Younwoo,Wolniewicz,Sales
19629,Stepehn,Matzke,Sales
19634,Phuoc,Etalle,Sales
19663,Sverrir,Navazio,Sales
19669,Shem,Honiden,Sales
19675,Isamu,Herath,Sales
19708,Ortrud,Biros,Sales
19723,Xuejun,Magalhaes,Sales
19724,Visit,Hasham,Sales
19728,Candido,Ramsey,Sales
19746,Shiv,Zeidenstein,Sales
19777,Halsur,Ferretti,Sales
19826,Fox,Christ,Sales
19841,Adil,Straney,Sales
19849,Weicheng,Serre,Sales
19874,Xuejia,Kuzuoka,Sales
19940,Reinhard,Einsfeld,Sales
19955,IEEE,Conry,Sales
20042,Margareta,Munck,Sales
20130,Xiaoshan,Picco,Sales
20148,Ibibia,Polupanov,Sales
20170,Emdad,Himler,Sales
20181,Thodoros,Wegerle,Sales
20266,Ekawit,Kakkad,Sales
20305,Gou,Birnbaum,Sales
20325,Katsuyuki,England,Sales
20338,Reinhard,Butner,Sales
20435,Oguz,Homond,Sales
20494,Lucien,Pagter,Sales
20534,Rosita,Kalloufi,Sales
20538,Gro,Hebert,Sales
20545,Woody,Chaudhury,Sales
20621,Arumugam,Navazio,Sales
20708,Aemilian,Arlazarov,Sales
20728,Billie,Sessa,Sales
20765,Steve,Viele,Sales
20813,Srinidhi,Sinicrope,Sales
20836,Jingling,Alameldin,Sales
20923,Menkae,Miara,Sales
20964,Clyde,Erez,Sales
20974,Hisao,Yavatkar,Sales
20979,Pradeep,Kumaresan,Sales
21007,Christfried,Junet,Sales
21110,Shaowei,Solares,Sales
21133,Carrsten,Brizzi,Sales
21135,KayLiang,Alpay,Sales
21138,Niteen,Haraldson,Sales
21143,Mayumi,Hennings,Sales
21299,Tamiya,Navazio,Sales
21344,Mohammed,Vanwelkenhuysen,Sales
21361,Shooichi,Lally,Sales
21409,Hongzhu,Yoshimura,Sales
21413,Laurentiu,Sherertz,Sales
21421,Avishai,Yoshizawa,Sales
21432,Kerhong,Weisert,Sales
21509,Udo,Rubsam,Sales
21537,Boutros,Mitchem,Sales
21542,Miomir,Sherertz,Sales
21566,Angel,Demos,Sales
21588,Licheng,Masamoto,Sales
21609,Sibyl,Pappas,Sales
21612,Martial,Bardell,Sales
21648,Mayuko,Fandrianto,Sales
21683,Jiang,Velasco,Sales
21693,Palash,Schurmann,Sales
21697,Billur,Luke,Sales
21705,Aleksandar,Luon,Sales
21758,Susumu,Picht,Sales
21820,Sanjay,Khasidashvili,Sales
21897,Sampalli,Kavanagh,Sales
21953,Bader,Michaels,Sales
21976,Randy,Uhrig,Sales
21980,Gen,Miyakawa,Sales
21987,Dipankar,Fontet,Sales
21994,Lech,Babb,Sales
22023,Mart,Vidya,Sales
22095,Breannda,Schlumberger,Sales
22111,Rasiah,Felcyn,Sales
22136,Naftali,Thiran,Sales
22140,Susanne,Reghbati,Sales
22150,Kristina,Zweizig,Sales
22179,Rosine,Garnick,Sales
22326,Mani,Skafidas,Sales
22370,Aloys,Oxenboll,Sales
22374,Soenke,Klassen,Sales
22381,Uma,Openshaw,Sales
22405,Gritta,Parveen,Sales
22535,Alejandra,Chachaty,Sales
22557,Abdulla,Luon,Sales
22590,Suzette,Veevers,Sales
22593,Danae,Jeansoulin,Sales
22609,Zvonko,Baalen,Sales
22688,Sham,Ebeling,Sales
22691,Morris,Bottner,Sales
22720,Olivera,Gornas,Sales
22728,Makato,Codenie,Sales
22758,Mabry,Rijckaert,Sales
22783,Takahiro,Beerel,Sales
22786,Moss,Usdin,Sales
22860,Taizo,Parascandalo,Sales
22863,Petter,Denna,Sales
22873,Ebbe,Ashish,Sales
22894,Muzhong,Casley,Sales
22910,Shawna,Cummings,Sales
22934,Parviz,Plumb,Sales
23195,Mark,Ertl,Sales
23211,Subir,Pehl,Sales
23290,Parviz,Papsdorf,Sales
23300,Froduald,Schauser,Sales
23314,Krassimir,Demizu,Sales
23362,Youjian,Yurek,Sales
23370,Morris,Bodoff,Sales
23384,Branimir,Reinhard,Sales
23406,Masadi,Masada,Sales
23454,Heejo,Felcyn,Sales
23480,Dannz,Busillo,Sales
23505,Yunming,Muchinsky,Sales
23532,Duke,Bardell,Sales
23592,Marek,Templeman,Sales
23620,Clyde,Reeker,Sales
23633,Jinpo,Nyrup,Sales
23676,Sham,Openshaw,Sales
23677,Rafael,Sevcikova,Sales
23703,Prodip,Thimonier,Sales
23761,Jouni,Menhardt,Sales
23791,Boguslaw,Pavlopoulou,Sales
23817,Duri,Coorg,Sales
23834,Bedir,Harllee,Sales
